2008 Olympic Trails					
					
					
WOMEN					
Place	Bib	Name	Age	Hometown	Finish
1	1	Deena Kastor	35	Mammoth Lakes, CA	2:29:35
2	43	Magdalena Lewy Boulet	34	Oakland, CA	2:30:19
3	17	Blake Russell	32	Pacific Grove, CA	2:32:40
4	7	Zoila Gomez	28	Alamosa, CO	2:33:53
5	152	Tera Moody	27	Boulder, CO	2:33:54
6	11	Turena Johnson Lane	32	Baton Rouge, LA	2:34:17
7	15	Ann Alyanak	29	Bellbrook, OH	2:34:46
8	54	Dot McMahan	31	Rochester Hills, MI	2:35:02
9	18	Robyn Friedman	35	Lambs Grove, IA	2:35:02
10	23	Erin Moeller	30	Cedar Rapids, IA	2:36:51
11	68	Kasie Enman	28	Huntington, VT	2:37:14
12	97	Megan Hepp	26	Charlotte, NC	2:37:29
13	87	Desiree Davila	24	Rochester Hills, MI	2:37:50
14	19	Melissa White	26	Rochester Hills, MI	2:37:53
15	32	Veena Reddy	29	Philadelphia, PA	2:38:08
16	116	Sheri Piers	36	Falmouth, ME	2:38:46
17	28	Linda Somers Smith	46	Arroyo Grande, CA	2:38:49
18	6	Samia Akbar	26	Herndon, VA	2:39:19
19	5	Mary Akor	31	Hawthorne, CA	2:39:34
20	46	Sally Meyerhoff	24	Tempe, AZ	2:39:39
21	51	Caroline Cretti	23	Blowing Rock, NC	2:40:12
22	76	Sopagna Eap	27	Eugene, OR	2:40:19
23	56	Caitlin Tormey	24	Blowing Rock, NC	2:40:29
24	91	Casey Smith	28	Richmond, VA	2:40:53
25	27	Rachel Kinsman	34	Archbold, OH	2:41:07
26	65	Heidi Westerling	27	Acworth, NH	2:41:09
27	38	Melisa Christian	31	Dallas, TX	2:41:18
28	66	Heidi Wolfsberger	28	Moosic, PA	2:41:21
29	102	Abby Dean	36	Philadelphia, PA	2:41:25
30	13	Dana Coons	29	Charlottesville, VA	2:41:31
31	20	Emily Mortensen	25	Alamosa, CO	2:41:44
32	50	Cheryl Anderson	26	Richmond, VA	2:41:45
33	14	Cheryl Smith	27	Honolulu, HI	2:41:45
34	137	Brett Ely	28	Cambridge, MA	2:41:54
35	108	Caroline Bjune	34	Andover, MA	2:42:02
36	107	Kathleen Castles	36	New Providence, NJ	2:42:34
37	39	Shannon McHale	37	West Simsbury, CT	2:42:40
38	60	Yolanda Flamino	31	Rochester Hills, MI	2:42:53
39	90	Chris Kimbrough	38	Austin, TX	2:42:54
40	33	Susan Loken	44	Phoenix, AZ	2:42:55
41	55	Kelly Stewart	27	Rochester Hills, MI	2:42:58
42	75	Carre Joyce	26	Salt Lake City, UT	2:43:01
43	42	Brooke Wells	23	San Francisco, CA	2:43:07
44	112	Nicole Hagobian	32	Hadley, MA	2:43:19
45	45	Alvina Begay	27	Flagstaff, AZ	2:43:30
46	69	Johanna Olson	29	Corvallis, OR	2:43:39
47	145	Lori Stich Zimmerman	37	Rochester Hills, MI	2:43:56
48	34	Cynthia Fowler	27	Farmington, UT	2:43:59
49	148	Laurie Knowles	30	Atlanta, GA	2:44:03
50	96	Melissa Gacek	31	White Bear Lake, MN	2:44:10
51	98	Gwen Greiner	38	Seattle, WA	2:44:25
52	93	Jennifer Modliszewski	28	Durham, NC	2:44:38
53	126	Brianna Torres	27	Flagstaff, AZ	2:44:44
54	158	Megan Daly	29	Menlo Park, CA	2:44:51
55	37	Nicole Cueno	28	Minneapolis, MN	2:44:54
56	81	Kathleen Jobes	38	Bethlehem, PA	2:44:57
57	31	Janelle Kraus	30	Port Jefferson, NY	2:45:02
58	85	Jenny DeWeese	30	Asheville, NC	2:45:03
59	49	Stephanie Herbst-Lucke	42	Atlanta, GA	2:45:14
60	135	Michele Suszek	25	Westminster, CO	2:45:16
61	146	Phebe Ko	25	North Salt Lake, UT	2:45:20
62	149	Kara Roy	27	Fort Collins, CO	2:45:25
63	129	Nikole Johns	33	Fort Collins, CO	2:45:27
64	94	Emily Brzozowski	29	Colorado Springs, CO	2:45:30
65	123	Heather May	38	Auburn, AL	2:45:41
66	106	Caroline Annis	27	San Francisco, CA	2:45:41
67	12	Emily Levan	35	Wiscasset, ME	2:45:45
68	64	Paige Miller	24	State College, PA	2:46:13
69	62	Sara Donahue	27	Brookline, MA	2:46:17
70	47	Heather Killeen-Frisone	35	Placentia, CA	2:46:20
71	72	Caryn Heffernan	34	Bothell, WA	2:46:25
72	26	Wendi Ray	35	Sister Bay, WI	2:46:41
73	117	Kristin Barry	34	Scarborough, ME	2:46:58
74	74	Maureen Ackerly	40	Richmond, VA	2:47:04
75	120	Camille Herron	26	Lafayette, IN	2:47:14
76	157	Jeanne Hennessy	30	Eagle, CO	2:47:50
77	92	Katie Blackett	31	Boulder, CO	2:47:51
78	78	Lisbet Sunshine	44	San Francisco, CA	2:47:57
79	25	Desiree Ficker	31	Austin, TX	2:48:11
80	80	Meredith Lambert	24	Philadelphia, PA	2:48:21
81	109	Renee High	26	Virginia Beach, VA	2:48:26
82	99	Carol Cabanillas	27	North Salt Lake, UT	2:48:28
83	150	Doreen McCoubrie	46	Malvern, PA	2:48:29
84	134	Betsy Keever	33	San Francisco, CA	2:48:41
85	8	Michelle Lilienthal	26	Minneapolis, MN	2:48:46
86	127	Erin Ward	33	St. Paul, MN	2:48:51
87	86	Cassandra Henkiel	37	Austin, TX	2:48:54
88	133	Shaluinn Fullove	30	Palo Alto, CA	2:49:00
89	125	Midori Sperandeo	41	Laguna Niguel, CA	2:49:05
90	144	Joan Samuelson	50	Freeport, ME	2:49:08
91	111	Patty Rogers	33	Lakewood, CO	2:49:18
92	154	Penny McDermott	33	Corvallis, OR	2:49:32
93	140	Briana Whaley	29	Culpeper, VA	2:49:32
94	44	Jenna Boren	31	St. Paul, MN	2:49:34
95	48	Heather Hunt	33	Englewood, CO	2:49:38
96	100	Kristen Henehan	28	Silver Spring, MD	2:49:42
97	104	Paula Morrison	34	Tucson, AZ	2:49:43
