Abby/Abbey/Abbie	Abigail
Abe	Abraham
Al	Albert
Al	Alexander
Al	Alfred
Al	Allan/Alan/Allen
Al	Alvin
Al	Alphonse
Alex	Alexander
Alex	Alexandra
Alf/Alfie	Alfred
Allie/Ally	Alice
Allie/Ally	Allison
Allie/Ally	Alexandra
Andy	Andrew/Andrus
Andy	Andrus
Arch	Archibald
Archie/Archy	Archibald
Art	Arthur
Babs	Barbara
Barney/Barnie	Bernard
Bart	Bartholomew
Bea	Beatrice
Bea	Beatrix
Becka	Rebecca
Becky/Beckie	Rebecca
Belle	Annabelle
Belle	Isabella
Belle	Isabelle
Ben	Benjamin
Ben	Bennett
Ben	Benton
Bernie	Bernard
Bert	Bertram
Bert	Herbert
Bess	Elizabeth
Beth	Elizabeth
Betsy	Elizabeth
Bette	Elizabeth
Betty	Elizabeth
Bev	Beverly/Beverley
Bibbit	Mary/Elizabeth
Biddy/Biddie	Bridget
Biff	William
Bill	William
Billy/Billie	William
Bob/Bobby/Bobbie	Robert
Bobbie	Barbara
Bobbie	Roberta
Brad	Bradford
Brad	Bradley
Bridie	Bridget
Burt	Herbert
Cam	Cameron
Candy/Candi/Candie	Candace
Carla	Carlotta
Carrie	Caroline
Carrie	Carolyn
Cassie	Caroline
Cassie	Catherine
Cassie/Cassy	Cassandra
Cat	Catherine/Katharine/Katherine/Kathryn/Kathleen
Cate	Catherine/Katharine/Katherine/Kathryn/Kathleen
Cathy	Catherine/Katharine/Katherine/Kathryn/Kathleen
CeCe	Cecilia/Celia
Charlie	Charles
Charlie	Charlotte
Chellie	Rochelle
Chet	Chester
Chris	Christian
Chris	Christine/Christina/Kristine/Kristina
Chris	Christopher
Christie	Christine/Kristine/Christina/Kristina
Chuck	Charles
Cilla	Priscilla
Cindy/Cindi/Cindie	Cynthia
Cindy/Cindi/Cindie	Lucinda
Clay	Clayton
Cliff	Clifford
Cliff	Clifton
Cliff	Wycliffe
Connie/Conny	Constance
Crissy/Crissi/Crissie	Christine/Kristine/Christina/Kristina
Curt	Curtis
Daisy	Margaret
Daisy	Marguerite
Dan	Danforth
Dan/Danny	Daniel
Danni/Dannie	Danielle
Dave	David
Dede	Deirdre
Delia	Cordelia
Denny/Dennie	Dennis
Dew	Andrew
Diccon	Richard
Dick/Dicky/Dickie	Richard
Didi	Deirdre
Dirk	Derek
Dolly	Dorothy
Dom	Dominic/Dominik
Don/Donny/Donnie	Donald
Dora	Dorothy
Dora	Theodora
Doug	Douglas
Dre	Andre
Dre	Andrew
Drew	Andrew
Ed	Edgar
Ed	Edmund
Ed	Edson
Ed	Edward
Ed	Edwin
Ed	Edison
Ed	Eduardo
Eli	Elijah
Eli	Elisha
Eliza	Elizabeth
Ellie	Eleanor
Em	Emily
Emmy/Emmie	Amelia
Emmy/Emmie	Emily
Eric	Frederic/Frederik/Frederick
Eric	Roderic/Roderik/Roderick
Erica/Erika	Frederica
Ernie	Ernest
Evie	Evelyn
Fanny	Frances
Fitz	Fitzpatrick/Fitzwalter
Fitz/Fitzy/Fitzie	Fitzgerald
Flo	Florence
Flossy/Flossie	Florence
Ford/Fordy	Crawford
Fran	Frances
Fran	Francine
Franci/Francie	Frances/Francine
Frank	Francis
Frank	Franklin
Fred/Freddie/Freddy	Alfred
Fred/Freddie/Freddy	Frederick/Frederic/Frederik
Fred/Freddie/Freddy	Manfred
Fred/Freddie/Freddy	Frederic/Frederick
Gabby/Gabbie	Gabrielle
Gabe	Gabriel
Genie	Eugenia
Genny	Genevieve
Genny	Gennifer
Geoff	Geoffrey
Gerry	Gerald
Gerry	Gerard
Gerry/Gerri/Gerrie	Geraldine
Gerry/Jerry	Geraldine/Gerard/Gerald
Gert	Gertrude
Gil/Gill	Gilbert
Gil/Gill	Guilford
Gina	Regina
Gina	Virginia
Ginny/Ginnie	Virginia
Gord	Gordon
Gordo	Gordon
Greg/Gregg	Gregory/Gregory
Greta	Margaret
Gus	Augustus
Hal	Harold
Hank	Henry
Harry	Harold
Harry	Harris
Harry	Harrison
Harry	Henry
Harry/Harrie	Harriet
Hattie/Hatty	Henrietta
Helen	Eleanor
Henny/Hennie	Henrietta
Herb	Herbert
Hetty/Hettie	Henrietta
Hilly/Hillie	Hilda
Hilly/Hillie	Hildegarte
Hilly/Hillie	Hillary/Hilary
Howie	Howard
Ike	Isaac
Irv	Irving
Jack	John
Jackie	Jacqueline
Jaime	James
Jake	Jacob
Jan	Janet
Jan	Janice
Jan	Jeanette
Jaqui	Jacqueline
Jay	James
Jay	Jason
Jay	John
Jeb	Jebediah
Jeb	Jedediah
Jed	Jedediah
Jeff	Geoffrey
Jeff	Jefferson
Jeff	Jeffrey
Jem	James
Jenna	Genevieve
Jenna	Jennifer
Jenny	Jennifer
Jerri/Jerry	Marjoriey/Marjorie
Jerry	Gerald/Jerold
Jerry	Gerard
Jerry	Jeremiah
Jerry	Jeremy
Jess	Jesse
Jess/Jessy/Jessie	Jessica
Jill	Gillian
Jill	Jillian
Jo	Josephine
Jock	Jacques
Jock	John
Joe/Joey	Joseph
Josh	Joshua
Jude	Judith
Judy/Judi	Judith
Jules	Julian
Julie	Jules
Kate	Catherine/Katharine/Katherine/Kathyn/Kathleen
Kathy	Catherine/Katharine/Katherine/Kathryn/Kathleen
Kay	Catherine/Katharine/Katherine/Kathryn/Kathleen
Ken	Kennard
Ken	Kenneth
Ken	Kennett
Kim	Caroline
Kim	Kimberly
Kit	Christopher
Kit/Kitty/Kittie	Catherine/Katharine/Katherine/Kathryn/Kathleen
Kris/Krissie/Krissy	Catherine/Katharine/Katherine/Kathryn/Kathleen
Kurt	Curtis
Larry	Lawrence/Laurance/Laurence
Laurie	Laura
Laurie	Lawrence/Laurance/Laurence
Lee	Laura
Lena	Helena
Lena	Magdalena
Leo	Leonard
Leo	Leopold
Les	Leslie
Les	Lester
Libby	Elizabeth
Lilabet	Elizabeth
Lilly	Elizabeth
Lily/Lilly	Lillian/Lilian
Lily/Lilly	Gigliola
Lindy	Linda
Lisa	Elisabeth
Liz	Elizabeth
Liza	Elizabeth
Lizzy/Lizzie	Elizabeth
Lottie	Charlotte
Lottie/Lotty	Carlotta
Lou	Louis
Lou	Louise/Lucinda/Lucille
Lucy/Luci/Lucie	Lucille
Lucy/Luci/Lucie	Lucinda
